LicenseType,Breed,Color,DogName,OwnerZip,ExpYear,ValidDate
Dog Individual Spayed Female,LABRADOR RETRIEVER,BROWN,CABELA,15037,2018,1/2/2018 14:16
Dog Individual Neutered Male,BOXER,BRINDLE,STAGGY,15037,2018,1/2/2018 14:16
Dog Individual Male,AM PIT BULL TERRIER,BRINDLE,DIESEL,15037,2018,1/2/2018 14:16
Dog Senior Citizen or Disability Neutered Male,MIXED,BLONDE,LITTLE BUDDY,15218,2018,1/3/2018 9:07
Dog Senior Citizen or Disability Neutered Male,COCKER SPANIEL MIX,WHITE/BLACK,LITTLE HIKIE,15218,2018,1/3/2018 9:07
Dog Senior Citizen or Disability Spayed Female,LAB MIX,BLACK,MINJI,15104,2018,1/3/2018 9:07
Dog Senior Citizen or Disability Neutered Male,FOX TERRIER TOY,SPOTTED,LESYK,15227,2018,1/3/2018 9:07
Dog Individual Neutered Male,GER SHEPHERD MIX,BLACK/TAN,RUSTY,15218,2018,1/3/2018 9:07
Dog Senior Citizen or Disability Neutered Male,DACHSHUND,BLACK,WILLY,15221,2018,1/3/2018 9:07
Dog Senior Citizen or Disability Spayed Female,GOLDEN RETRIEVER,GOLD,DAISY,15221,2018,1/3/2018 9:07
Dog Senior Citizen or Disability Neutered Male,GOLDEN RETRIEVER,GOLD,MICK,15221,2018,1/3/2018 9:07
Dog Individual Spayed Female,SIB HUSKY,BROWN,AURORA,15108,2018,1/2/2018 15:31
Dog Individual Neutered Male,LAB MIX,BLACK WITH WHITE,CROSBY,15035,2018,1/3/2018 9:07
Dog Individual Neutered Male,LABRADOR RETRIEVER,YELLOW,FLEURY CHASE,15035,2018,1/3/2018 9:07
Dog Individual Spayed Female,MIXED,WHITE,DELILAH,15136,2018,1/3/2018 9:07
Dog Senior Citizen or Disability Spayed Female,LHASA APSO,BROWN,GRACIE,15218,2018,1/3/2018 9:07
Dog Individual Spayed Female,SIB HUSKY,BROWN,AURORA,15108,2018,1/2/2018 15:31
Dog Individual Spayed Female,LABRADOODLE,WHITE,CHLOE WAGNER,15090,2018,1/3/2018 9:07
Dog Individual Neutered Male,JACK RUSSEL TERRIER,WHITE/BLACK,SIDNEY,15144,2018,1/3/2018 9:07
Dog Individual Neutered Male,BEAGLE MIX,BLACK/BROWN,JUNIOR,15236,2018,1/3/2018 9:07
Dog Individual Neutered Male,SHIH TZU MIX,WHITE/BLACK,CASEY,15144,2018,1/2/2018 14:49
Dog Individual Neutered Male,LABRADOR RETRIEVER,YELLOW,BARLEY,15090,2018,1/3/2018 9:07
Dog Individual Male,LABRADOR RETRIEVER,BLACK,MOJO,15090,2018,1/3/2018 9:07
Dog Individual Spayed Female,PUGGLE,BROWN,LOLA,15236,2018,1/2/2018 14:35
Dog Individual Spayed Female,AM BULLDOG,WHITE/BROWN,TRIXIE,15236,2018,1/2/2018 14:35
Dog Individual Female,GREYHOUND,BLACK,JOCELYN,15225,2018,1/3/2018 9:07
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,MOOSE,15229,2018,1/3/2018 9:07
Dog Individual Male,CHIHUAHUA,WHITE,TIPPY,15037,2018,1/2/2018 14:49
Dog Individual Neutered Male,BULLDOG,WHITE/BLACK/BROWN,RIGGINS,15239,2018,1/3/2018 9:07
Dog Individual Spayed Female,ENG BULLDOG,WHITE/BLACK,GUINNESS,15239,2018,1/3/2018 9:07
Dog Individual Neutered Male,AM STAFF TERRIER,WHITE/BROWN,JAX,15044,2018,1/2/2018 14:49
Dog Senior Citizen or Disability Neutered Male,SHETLAND SHEEP MIX,BLACK/BROWN,MORK,15239,2018,1/3/2018 9:07
Dog Senior Citizen or Disability Neutered Male,LAB MIX,BLACK,CJ,15137,2018,1/2/2018 14:49
Dog Individual Male,POMERANIAN,BLACK/TAN,CLINTON,15239,2018,1/3/2018 9:07
Dog Individual Neutered Male,BEAGLE MIX,BRINDLE,REESE,15044,2018,1/2/2018 14:49
Dog Individual Neutered Male,FRENCH BULLDOG,WHITE/BLACK,DEMPSEY,15146,2018,1/3/2018 9:07
Dog Senior Citizen or Disability Spayed Female,MIN PINSCHER,BLACK/TAN,MINDY,15239,2018,1/3/2018 9:07
Dog Individual Neutered Male,BEAGLE,WHITE/BLACK/BROWN,REMINGTON,15037,2018,1/2/2018 15:31
Dog Individual Female,TERRIER MIX,WHITE/BROWN,BILLIE,15146,2018,1/2/2018 14:49
Dog Senior Citizen or Disability Spayed Female,LABRADOR RETRIEVER,YELLOW,DAISY,15143,2018,1/2/2018 14:49
Dog Individual Spayed Female,LABRADOR RETRIEVER,YELLOW,BELLA,15140,2018,1/2/2018 14:49
Dog Individual Female,MIXED,WHITE/BLACK,ZOEY,15140,2018,1/3/2018 9:07
Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,SAVANNAH,15116,2018,1/2/2018 14:49
Dog Individual Neutered Male,BEAGLE MIX,TRI-COLOR,BENSON,15146,2018,1/3/2018 9:07
Dog Individual Female,LAB MIX,WHITE/BROWN,RUBY,15108,2018,1/2/2018 14:49
Dog Individual Neutered Male,JACK RUSSEL TERRIER,WHITE/BLACK/BROWN,IKE,15108,2018,1/3/2018 9:07
Dog Individual Neutered Male,CAIRN TERRIER,BROWN,PATRICK,15108,2018,1/3/2018 9:07
Dog Individual Spayed Female,PARSON RUSSELL TERR,SPOTTED,KATI,15143,2018,1/2/2018 14:49
Dog Senior Citizen or Disability Male,BEAGLE,WHITE/BLACK/BROWN,DUKE,15126,2018,1/2/2018 15:12
Dog Senior Citizen or Disability Male,BEAGLE,WHITE/BLACK/BROWN,HARLEY,15126,2018,1/2/2018 15:12
Dog Individual Spayed Female,SHIH TZU,WHITE/BLACK,OLIVA,15057,2018,1/2/2018 14:49
Dog Individual Spayed Female,SHIH TZU,WHITE/BROWN,SAWSHA,15057,2018,1/2/2018 14:49
Dog Senior Citizen or Disability Male,BEAGLE,WHITE/BLACK/BROWN,HARLEY,15126,2018,1/2/2018 15:12
Dog Individual Spayed Female,LAB MIX,BROWN,KOSMO,15102,2018,1/2/2018 14:49
Dog Senior Citizen or Disability Neutered Male,MIN PINSCHER,BLACK,WALDORF,15234,2018,1/2/2018 16:18
Dog Individual Neutered Male,MIXED,SPOTTED,CHRISTOPHER,15090,2018,1/2/2018 14:49
Dog Individual Neutered Male,LAB MIX,MULTI,BUDDY,15237,2018,1/2/2018 15:12
Dog Individual Spayed Female,BEAGLE MIX,WHITE,VIOLET,15024,2018,1/2/2018 16:18
Dog Individual Neutered Male,AUS SHEPHERD,MERLE,KODA,15122,2018,1/2/2018 14:50
Dog Individual Spayed Female,FRENCH BULLDOG,BLACK,MINNIE,15090,2018,1/2/2018 14:50
Dog Individual Male,TERRIER MIX,WHITE/BLACK,SCRUFFY,15221,2018,1/2/2018 15:12
Dog Individual Female,LAB MIX,WHITE/BLACK,BETTY,15221,2018,1/2/2018 15:12
Dog Individual Spayed Female,GER SHEPHERD MIX,BROWN,EMMA,15090,2018,1/2/2018 14:50
Dog Senior Citizen or Disability Spayed Female,GER SHEPHERD MIX,BLACK/TAN,MIA,15235,2018,1/2/2018 15:12
Dog Individual Spayed Female,SAMOYED,WHITE,TATIANA,15237,2018,1/2/2018 15:31
Dog Individual Spayed Female,AM PITT BULL MIX,BROWN,COKI,15017,2018,1/2/2018 15:30
Dog Senior Citizen or Disability Neutered Male,BISHON FRISE MIX,WHITE,SPENCER,15218,2018,1/2/2018 14:50
Dog Individual Spayed Female,AM PITT BULL MIX,WHITE,DAISEY,15237,2018,1/2/2018 15:30
Dog Individual Neutered Male,MIXED,APRICOT,TAZ HARPER,15132,2018,1/2/2018 16:18
Dog Individual Neutered Male,COTON DE TULEAR,WHITE,SNOWBALL,15239,2018,1/2/2018 16:18
Dog Individual Neutered Male,DALMATIAN,SPOTTED,KENO,15237,2018,1/2/2018 15:30
Dog Individual Spayed Female,BEAGLE,MULTI,PUMPKIN,15237,2018,1/2/2018 15:30
Dog Individual Neutered Male,CHIHUAHUA MIX,BROWN,BUDDY,15215,2018,1/2/2018 16:18
Dog Individual Female,TERRIER MIX,BRINDLE,MIA,15137,2018,1/2/2018 15:12
Dog Senior Citizen or Disability Neutered Male,PUGGLE,OTHER,CABO,15136,2018,1/2/2018 15:30
Dog Individual Spayed Female,MIXED,WHITE/BLACK,CASSIE,15235,2018,1/2/2018 15:12
Dog Senior Citizen or Disability Female,CAV KING CHAR SPANI,WHITE/BROWN,EMMA,15238,2018,1/2/2018 16:18
Dog Individual Spayed Female,LABRADOR RETRIEVER,WHITE,MIA,15237,2018,1/2/2018 15:12
Dog Individual Neutered Male,MANCHESTER TERRIER,BLACK,DERBY,15237,2018,1/2/2018 15:30
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,MICKEY,15237,2018,1/2/2018 15:12
Dog Senior Citizen or Disability Spayed Female,AIREDALE TERRIER,BLACK/BROWN,PENNY,15116,2018,1/2/2018 16:18
Dog Individual Neutered Male,LABRADOR RETRIEVER,BROWN,HUCK,15143,2018,1/2/2018 15:12
Dog Individual Neutered Male,LABRADOR RETRIEVER,BROWN,FIN,15143,2018,1/2/2018 15:12
Dog Individual Spayed Female,COCKER SPANIEL MIX,WHITE/BLACK/BROWN,CASEY,15237,2018,1/2/2018 15:12
Dog Individual Neutered Male,PUGGLE,BROWN,JIMI,15205,2018,1/2/2018 15:30
Dog Individual Neutered Male,YORKSHIRE TERR MIX,BLACK,TOBY,15147,2018,1/2/2018 15:12
Dog Individual Neutered Male,GER SHEPHERD,BLACK/BROWN,RAMBO,15332,2018,1/2/2018 15:30
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,WILLIE,15216,2018,1/2/2018 16:18
Dog Senior Citizen or Disability Spayed Female,DOBERMAN MIX,BROWN,BELLA,15223,2018,1/2/2018 15:30
Dog Senior Citizen or Disability Spayed Female,SHEPHERD MIX,TRI-COLOR,PIPER,15237,2018,1/2/2018 15:12
Dog Individual Spayed Female,LAB MIX,BLACK,ROSIE,15221,2018,1/2/2018 15:30
Dog Individual Neutered Male,SHETLAND SHEEPDOG,WHITE/BLACK/BROWN,CHARLIE,15223,2018,1/2/2018 16:18
Dog Individual Spayed Female,LABRADOR RETRIEVER,YELLOW,DAISY,15140,2018,1/3/2018 9:07
Dog Individual Spayed Female,MIXED,TAN,LANY,15235,2018,1/2/2018 15:30
Dog Individual Neutered Male,SHEPHERD MIX,BROWN,RINGO,15239,2018,1/3/2018 9:07
Dog Individual Neutered Male,PEEKAPOO,WHITE,BILLY FREDLEY,15101,2018,1/2/2018 15:30
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,JACK,15065,2018,1/2/2018 15:31
Dog Senior Citizen or Disability Spayed Female,POMERANIAN MIX,WHITE/TAN,PENNY,15221,2018,1/2/2018 15:30
Dog Senior Citizen or Disability Neutered Male,W HGHLND WH TERRIER,WHITE,TOBY,15101,2018,1/2/2018 15:30
Dog Senior Citizen or Disability Neutered Male,POMERANIAN,BROWN,RUSTY,15216,2018,1/2/2018 15:30
Dog Individual Spayed Female,AM PIT BULL TERRIER,WHITE/BLACK,RE REE,15145,2018,1/2/2018 15:30
Dog Individual Neutered Male,GREAT DANE,BLACK,BO,15145,2018,1/2/2018 15:30
Dog Individual Spayed Female,GREAT DANE,MERLE,DANAY,15145,2018,1/2/2018 15:30
Dog Individual Neutered Male,HAVANESE,WHITE/BROWN,DUSTY,15126,2018,1/2/2018 15:12
Dog Senior Citizen or Disability Neutered Male,PUGGLE,WHITE/BROWN,CORTEZ,15136,2018,1/2/2018 15:30
Dog Individual Neutered Male,GOLDEN RETRIEV MIX,MULTI,COOPER,15214,2018,1/3/2018 9:07
Dog Individual Neutered Male,HAVANESE,WHITE/BLACK,NEEZIE,15126,2018,1/2/2018 15:12
Dog Individual Neutered Male,MALTESE,WHITE,LADDIE,15126,2018,1/2/2018 15:12
Dog Senior Citizen or Disability Spayed Female,LABRADOR RETRIEVER,BLACK,STELLA,15108,2018,1/2/2018 15:30
Dog Individual Neutered Male,DACHSHUND,RED,SKEETER,15126,2018,1/2/2018 15:12
Dog Individual Spayed Female,BISHON FRISE MIX,WHITE,PENNY,15241,2018,1/2/2018 16:18
Dog Individual Spayed Female,DACHSHUND,OTHER,ROSIE,15237,2018,1/2/2018 15:12
Dog Individual Female,SHIH TZU,GOLD,ZOEY,15037,2018,1/2/2018 15:30
Dog Individual Female,SHIH TZU,GOLD,DAISY,15037,2018,1/2/2018 15:30
Dog Senior Citizen or Disability Spayed Female,BORDER TERRIER,WHITE/BLACK/BROWN,BINGO,15237,2018,1/2/2018 15:12
Dog Senior Citizen or Disability Spayed Female,TERRIER MIX,BLACK/BROWN,MISSY KEYNO,15237,2018,1/2/2018 15:12
Dog Individual Spayed Female,LAB MIX,BLACK,EBONY,15084,2018,1/2/2018 15:30
Dog Individual Spayed Female,BEAGLE MIX,WHITE/BLACK/BROWN,ALLIE,15071,2018,1/2/2018 15:30
Dog Senior Citizen or Disability Neutered Male,COLLIE,WHITE/BROWN,PATRICK,15044,2018,1/2/2018 15:30
Dog Individual Spayed Female,ENG BULLDOG,WHITE/BROWN,BELLA ABBONDANZA,15129,2018,1/2/2018 15:30
Dog Individual Neutered Male,PUGGLE,TAN,ARTHUR,15071,2018,1/2/2018 15:30
Dog Individual Male,WELSH SPRINGER SPAN,WHITE/RED,CROSBY,15017,2018,1/2/2018 15:30
Dog Individual Spayed Female,MIN PINSCHER,BLACK/BROWN,DOLCE,15235,2018,1/2/2018 15:12
Dog Senior Citizen or Disability Neutered Male,POMERANIAN,BROWN/TAN,MACHO,15065,2018,1/2/2018 15:30
Dog Senior Citizen or Disability Spayed Female,JAPANESE CHIN,WHITE/BROWN,BABY,15084,2018,1/2/2018 15:30
Dog Senior Citizen or Disability Male,MIXED,WHITE/BROWN,BARNEY,15084,2018,1/2/2018 15:30
Dog Individual Spayed Female,W HGHLND WH TERRIER,WHITE,LIZZIE,15202,2018,1/2/2018 15:30
Dog Individual Neutered Male,AM ESKIMO DOG,WHITE,FLEURY,15147,2018,1/2/2018 15:31
Dog Individual Neutered Male,GOLDEN RETRIEVER,GOLD,BENTLEY,15214,2018,1/3/2018 9:07
Dog Senior Citizen or Disability Neutered Male,BEAGLE,SILVER,OLIVER,15136,2018,1/2/2018 15:31
Dog Individual Neutered Male,MALTESE,WHITE,NISCHAN,15239,2018,1/3/2018 9:07
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/LIVER,SCRAP,15228,2018,1/2/2018 15:31
Dog Individual Spayed Female,DACHSHUND MIX,BROWN,EMILY,15234,2018,1/2/2018 15:31
Dog Individual Neutered Male,JACK RUSSEL TERRIER,SPOTTED,BAILEY,15234,2018,1/2/2018 15:31
Dog Individual Neutered Male,MALTESE MIX,WHITE/BLACK,VINNY,15234,2018,1/2/2018 15:31
Dog Individual Neutered Male,BLUETICK COONHOUND,WHITE/BLACK/BROWN,BAM,15106,2018,1/2/2018 15:31
Dog Individual Female,SIB HUSKY MIX,FAWN,LUPI,15044,2018,1/2/2018 15:31
Dog Senior Citizen or Disability - FREE,COTON DE TULEAR,WHITE,COOKIE,15146,2018,1/3/2018 9:07
Dog Individual Neutered Male,GER SHEPHERD,BLACK/BROWN,HUNTER,15044,2018,1/2/2018 15:31
Dog Individual Spayed Female,MIXED,WHITE,VANESSA,15236,2018,1/3/2018 9:07
Dog Individual Neutered Male,TAG,BROWN,BEAR,15202,2018,1/2/2018 15:31
Dog Individual Neutered Male,POLISH LOWLND SHEEP,SALT/PEPPER,FLOYD,15227,2018,1/3/2018 9:07
Dog Individual Spayed Female,MIXED,BLACK,RUBY,15132,2018,1/2/2018 15:31
Dog Individual Male,GOLDEN RETRIEVER,BLONDE,MAXWELL,15236,2018,1/3/2018 9:07
Dog Individual Spayed Female,BLUE HEELER,BLACK,GENO,15223,2018,1/2/2018 15:31
Dog Individual Female,GOLDEN RETRIEVER,BLONDE,DAISY ROSEL,15236,2018,1/3/2018 9:07
Dog Individual Spayed Female,TAG,BLACK/BROWN,JENNY,15237,2018,1/3/2018 9:07
Dog Individual Spayed Female,BLUE HEELER,BLACK,SYDNEY,15223,2018,1/2/2018 15:31
Dog Individual Female,BEAGLE,WHITE/BLACK/BROWN,BELLE,15102,2018,1/2/2018 15:31
Dog Individual Male,BEAGLE,WHITE/BLACK/BROWN,BOHDI,15102,2018,1/2/2018 15:31
Dog Individual Spayed Female,MIXED,WHITE/BLACK,ROXY,15102,2018,1/2/2018 15:31
Dog Individual Neutered Male,GOLDEN RETRIEVER,GOLD,HUDSON,15202,2018,1/2/2018 15:31
Dog Individual Spayed Female,MASTIFF,BRINDLE,STAR,15236,2018,1/3/2018 9:07
Dog Individual Neutered Male,MASTIFF,TAN,DIESEL,15236,2018,1/3/2018 9:07
Dog Individual Neutered Male,BEAGLE,TRI-COLOR,ZIP,15102,2018,1/2/2018 15:31
Dog Individual Spayed Female,AM PITT BULL MIX,BRINDLE,HAILEY,15239,2018,1/3/2018 9:07
Dog Senior Citizen or Disability Spayed Female,ENG SETTER,SPOTTED,RYELEE,15102,2018,1/2/2018 15:31
Dog Individual Neutered Male,BOXER,FAWN,BUSTER,15239,2018,1/3/2018 9:07
Dog Individual Spayed Female,LABRADOODLE,SPOTTED,WILLOW,15202,2018,1/2/2018 15:31
Dog Individual Male,PUG,BLACK/FAWN,ROCKY,15101,2018,1/2/2018 15:31
Dog Individual Male,BEAGLE,YELLOW,MONTY,15218,2018,1/2/2018 15:31
Dog Senior Citizen or Disability Neutered Male,SHIH TZU,WHITE/BLACK,GIZMO BOWLES,15084,2018,1/3/2018 9:07
Dog Individual Spayed Female,GER SHEPHERD,BLACK,COAL,15104,2018,1/3/2018 9:07
Dog Senior Citizen or Disability Neutered Male,BASSET HOUND,WHITE/BROWN,QUICK,15014,2018,1/3/2018 9:07
Dog Individual Neutered Male,SHIH TZU MIX,WHITE/APRICOT,BAXTER,15101,2018,1/3/2018 9:07
Dog Individual Spayed Female,GOLDEN RETRIEVER,BROWN,CAYLEE,15144,2018,1/3/2018 9:08
Dog Individual Female,POMERANIAN,WHITE/BLACK/BROWN,ROXY,15136,2018,1/2/2018 16:18
Dog Individual Spayed Female,POODLE MIX,BLACK,MINNIE,15102,2018,1/2/2018 16:18
Dog Individual Female,GER SHEPHERD MIX,BLONDE,ROKXI,15227,2018,1/2/2018 16:18
Dog Individual Spayed Female,GER SHEPHERD MIX,BLONDE,ROKXI,15227,2018,1/2/2018 16:18
Dog Individual Neutered Male,POODLE STANDARD,BLACK,RUFFIAN,15241,2018,1/2/2018 16:18
Dog Individual Female,AM PITT BULL MIX,BRINDLE,LEIA,15223,2018,1/2/2018 16:18
Dog Senior Citizen or Disability Neutered Male,SHETLAND SHEEPDOG,WHITE/BROWN,ROSS,15223,2018,1/2/2018 16:18
Dog Senior Citizen or Disability Neutered Male,CHES BAY RETRIEVER,BROWN,DUDE,15212,2018,1/2/2018 16:18
Dog Individual Female,GER SHEPHERD,SABLE,REMI,15120,2018,1/2/2018 16:18
Dog Individual Male,GER SHEPHERD,BLACK/TAN,SARGE,15120,2018,1/2/2018 16:18
Dog Individual Female,GER SHEPHERD,SABLE,REMI,15120,2018,1/2/2018 16:18
Dog Individual Neutered Male,GER SHEPHERD,BLACK/TAN,SARGE,15120,2018,1/2/2018 16:18
Dog Individual Spayed Female,CAIRN TERRIER,WHEATON,BAILEY,15101,2018,1/2/2018 16:18
Dog Individual Male,LABRADOR RETRIEVER,BLACK,OZZY GEEN,15122,2018,1/2/2018 16:18
Dog Individual Spayed Female,LAB MIX,WHITE/YELLOW,PEACHES,15102,2018,1/2/2018 16:18
Dog Individual Female,TERRIER MIX,BLACK,PENNY,15237,2018,1/2/2018 16:18
Dog Individual Male,PEEKAPOO,TAN,BENNETT,15228,2018,1/2/2018 16:18
Dog Individual Neutered Male,PEEKAPOO,TAN,BENNETT,15228,2018,1/2/2018 16:18
Dog Individual Neutered Male,BRUSSELS GRIFFON,BLACK,BRUNO,15228,2018,1/2/2018 16:18
Dog Individual Neutered Male,BRUSSELS GRIFFON,RED,ANGUS,15228,2018,1/2/2018 16:18
Dog Individual Spayed Female,SHETLAND SHEEPDOG,BROWN,CARA,15234,2018,1/2/2018 16:18
Dog Individual Spayed Female,BEAGLE,TRI-COLOR,BELLE,15234,2018,1/2/2018 16:18
Dog Individual Neutered Male,MIXED,BROWN,BUDDY,15132,2018,1/2/2018 16:18
Dog Individual Spayed Female,LAB MIX,BLACK,SHEBA,15132,2018,1/2/2018 16:18
Dog Individual Spayed Female,COLLIE,WHITE/BROWN,LASSIE,15137,2018,1/2/2018 16:18
Dog Individual Neutered Male,GREAT DANE MIX,RED/BROWN,DUCATI,15129,2018,1/2/2018 16:19
Dog Individual Neutered Male,POODLE MIX,WHITE/BLACK,SYDNEY,15122,2018,1/2/2018 16:19
Dog Senior Citizen or Disability Neutered Male,YORKSHIRE TERRIER,BROWN,RILEY,15071,2018,1/2/2018 16:19
Dog Individual Neutered Male,BASSET HOUND,WHITE/BLACK,BAXTER,15025,2018,1/2/2018 16:19
Dog Individual Male,ROTTWEILER,BLACK,BONES,15216,2018,1/2/2018 16:19
Dog Individual Male,POMERANIAN,GREY,GANYMEDE,15143,2018,1/3/2018 10:25
Dog Individual Male,AUS SHEPHERD,SPOTTED,SAM,15143,2018,1/3/2018 10:25
Dog Senior Citizen or Disability Spayed Female,MIXED,SILVER,ROXIE,15239,2018,1/3/2018 10:25
Dog Senior Citizen or Disability Spayed Female,LAB MIX,BLACK,RAVEN,15221,2018,1/3/2018 10:25
Dog Individual Spayed Female,DOBERMAN PINSCHER,RED,SKYE,15235,2018,1/3/2018 10:25
Dog Individual Spayed Female,DOBERMAN PINSCHER,BLACK,STEELE,15235,2018,1/3/2018 10:25
Dog Individual Neutered Male,GER SHEPHERD MIX,TRI-COLOR,DINO,15037,2018,1/3/2018 10:25
Dog Individual Female,BOSTON TERRIER,WHITE/BLACK,KAYLA,15045,2018,1/3/2018 10:25
Dog Individual Female,PARSON RUSSELL TERR,SPOTTED,CUDDLES,15045,2018,1/3/2018 10:25
Dog Individual Male,GOLDEN RETRIEVER,CREAM,JACKSON,15037,2018,1/3/2018 10:25
Dog Senior Citizen or Disability Spayed Female,SIB HUSKY,BLACK/BROWN/GREY,A-KIA,15237,2018,1/3/2018 11:42
Dog Individual Neutered Male,LAB MIX,BLACK,CHARLEY,15146,2018,1/3/2018 8:58
Dog Individual Spayed Female,LAB MIX,BLACK,MAGGIE,15146,2018,1/3/2018 8:58
Dog Senior Citizen or Disability Neutered Male,MIXED,WHITE/BLACK,angus,15238,2018,1/3/2018 10:26
Dog Senior Citizen or Disability Female,CHINESE SHAR-PEI,BLUE,NIKKIESOO,15132,2018,1/3/2018 10:26
Dog Individual Female,MALTESE,WHITE,FLEURY,15017,2018,1/3/2018 10:26
Dog Senior Citizen or Disability Spayed Female,FRENCH BULLDOG,WHITE/TAN,LILY,15057,2018,1/3/2018 10:26
Dog Individual Neutered Male,GER SHEPHERD,BLACK,CROSBY,15136,2018,1/3/2018 11:42
Dog Individual Male,CHIHUAHUA,BLACK,BLU,15136,2018,1/3/2018 10:26
Dog Individual Male,AUS SHEPHERD,WHITE/BLACK/GREY,OAKLEY,15120,2018,1/3/2018 10:26
Dog Individual Spayed Female,POMERANIAN,ORANGE,JUICY,15120,2018,1/3/2018 10:26
Dog Senior Citizen or Disability Neutered Male,ENG SPRINGER SPANIE,WHITE/LIVER,SHERLOCK,15102,2018,1/3/2018 10:26
Dog Senior Citizen or Disability Male,ENG SPRINGER SPANIE,WHITE/LIVER,WESTON,15102,2018,1/3/2018 10:26
Dog Senior Citizen or Disability Spayed Female,GER SHEPHERD MIX,BLACK/BROWN,PRINCESS,15102,2018,1/3/2018 10:26
Dog Senior Citizen or Disability Spayed Female,YORKSHIRE TERRIER,BLACK/BROWN,ARIANA,15071,2018,1/3/2018 9:34
Dog Senior Citizen or Disability Spayed Female,YORKSHIRE TERRIER,BLACK/BROWN,AURORA,15071,2018,1/3/2018 9:34
Dog Senior Citizen or Disability Spayed Female,MIXED,BROWN,HANNAH,15205,2018,1/3/2018 9:34
Dog Senior Citizen or Disability Male,AM PIT BULL TERRIER,BROWN,BUDDY,15235,2018,1/3/2018 9:34
Dog Senior Citizen or Disability Neutered Male,MASTIFF,BLACK,WAKELY,15235,2018,1/3/2018 9:34
Dog Senior Citizen or Disability Spayed Female,W HGHLND WH TERRIER,WHITE,JADE,15236,2018,1/3/2018 10:26
Dog Senior Citizen or Disability Neutered Male,POODLE MIN,SPOTTED,PRINCE,15237,2018,1/3/2018 9:34
Dog Individual Neutered Male,AM PITT BULL MIX,WHITE/BLACK,OZZIE,15102,2018,1/3/2018 10:26
Dog Individual Neutered Male,LHASA APSO,BLONDE,OTTI,15205,2018,1/3/2018 10:26
Dog Individual Spayed Female,BEAGLE,WHITE/BLACK/BROWN,COCOA,15044,2018,1/3/2018 15:26
Dog Senior Citizen or Disability Neutered Male,LHASA APSO,BLONDE,OTTI,15205,2018,1/3/2018 10:26
Dog Individual Spayed Female,LABRADOR RETRIEVER,BLACK,CHLOE,15044,2018,1/3/2018 15:26
Dog Individual Neutered Male,MIXED,MULTI,CHARLEY,15236,2018,1/3/2018 10:26
Dog Individual Neutered Male,NORW ELKHOUND,BLACK/GREY,DAKOTA,15205,2018,1/3/2018 10:26
Dog Individual Spayed Female,SHEPHERD MIX,BLACK/TAN/WHITE,SOPHIE,15106,2018,1/3/2018 15:26
Dog Individual Spayed Female,AKITA,BLACK/GREY,TAKARA,15229,2018,1/3/2018 10:26
Dog Individual Neutered Male,AM PIT BULL TERRIER,BROWN,SCOOTER,15102,2018,1/3/2018 11:42
Dog Individual Female,LABRADOR RETRIEVER,BLACK,MOLLY,15236,2018,1/3/2018 15:26
Dog Individual Male,DACHSHUND,RED,BUDDY,15236,2018,1/3/2018 15:26
Dog Individual Neutered Male,TERRIER MIX,BLACK/TAN,MILES,15209,2018,1/3/2018 10:26
Dog Individual Neutered Male,CAIRN TERRIER,BLONDE,SATCHMO,15209,2018,1/3/2018 10:26
Dog Individual Neutered Male,DACHSHUND,BLACK,TACO,15241,2018,1/3/2018 15:26
Dog Individual Neutered Male,AM PIT BULL TERRIER,BROWN,SAMSON,15122,2018,1/3/2018 10:26
Dog Individual Neutered Male,MIXED,BROWN,TYSON,15122,2018,1/3/2018 10:26
Dog Individual Male,DACHSHUND,BLACK/BROWN,BUSTER,15116,2018,1/3/2018 10:26
Dog Individual Spayed Female,GOLDENDOODLE,TAN,BELLA,15237,2018,1/3/2018 10:26
Dog Individual Male,ENGLISH MASTIFF,BROWN,ABEL,15102,2018,1/3/2018 11:42
Dog Individual Neutered Male,GER SHEPHERD,BROWN,MOWGLI,15237,2018,1/3/2018 10:26
Dog Individual Female,ENG SPRINGER SPANIE,WHITE/LIVER,GRACE,15108,2018,1/3/2018 15:26
Dog Individual Spayed Female,LAB MIX,BLACK,MONROE,15146,2018,1/3/2018 15:26
Dog Senior Citizen or Disability Spayed Female,HAVANESE,BLACK,MADDISON,15209,2018,1/3/2018 15:26
Dog Senior Citizen or Disability Spayed Female,MIXED,WHITE/BLACK/BROWN,SISSY,15017,2018,1/3/2018 15:26
Dog Individual Neutered Male,LABRADOR RETRIEVER,BLACK,DINOZZO,15237,2018,1/3/2018 10:26
Dog Individual Spayed Female,AM PITT BULL MIX,WHITE/TAN,CICI,15102,2018,1/3/2018 10:26
Dog Individual Male,ENGLISH MASTIFF,BRINDLE,ABEL,15102,2018,1/3/2018 11:42
Dog Individual Neutered Male,AM PIT BULL TERRIER,BROWN,SCOOTER,15102,2018,1/3/2018 11:42
Dog Individual Neutered Male,LAB MIX,BLACK,RIVER,15071,2018,1/3/2018 10:26
